,lat,lon,x_ew,y_ns,z_depth,slip,rake,trup,trise,sf_moment
120,-3.8146,100.7612,71.113,-41.8158,23.0568,0.0977,75.221,66.0,7.6,9.89e+17
121,-3.7041,100.6836,62.5117,-29.5234,23.0568,0.3406,117.5353,57.8,1.9,3.45e+18
122,-3.5935,100.6061,53.9193,-17.2208,23.0568,0.0337,90.8324,48.4,3.8,3.41e+17
123,-3.4829,100.5285,45.3135,-4.9189,23.0568,0.0375,124.6606,38.4,1.9,3.8e+17
124,-3.3723,100.4509,36.7112,7.3821,23.0568,0.2549,123.789,31.8,3.8,2.58e+18
125,-3.2618,100.3734,28.1123,19.6713,23.0568,0.259,110.3786,29.0,9.5,2.62e+18
126,-3.1512,100.2958,19.5004,31.9708,23.0568,0.3182,125.8686,27.6,7.6,3.22e+18
127,-3.0406,100.2182,10.8864,44.2697,23.0568,0.6169,131.3575,34.8,9.5,6.25e+18
128,-2.93,100.1406,2.2706,56.5678,23.0568,0.3334,103.4948,42.8,5.7,3.38e+18
129,-2.8195,100.0631,-6.3359,68.8541,23.0568,0.2657,86.0535,51.2,9.5,2.69e+18
130,-2.7089,99.9855,-14.9553,81.151,23.0568,0.3037,75.0393,62.2,1.9,3.08e+18
131,-2.5983,99.9079,-23.5764,93.4471,23.0568,0.2321,77.7121,74.4,1.9,2.35e+18
132,-2.4877,99.8304,-32.188,105.7427,23.0568,0.3594,90.6445,88.8,3.8,3.64e+18
133,-2.3771,99.7528,-40.8123,118.0377,23.0568,0.5979,78.4364,101.4,3.8,6.06e+18
134,-2.2666,99.6752,-49.438,130.321,23.0568,0.0805,108.0188,110.8,1.9,8.16e+17
135,-3.7641,100.8335,79.1386,-36.2065,25.071,0.0542,82.3829,70.8,3.8,5.49e+17
136,-3.6535,100.756,70.5488,-23.9023,25.071,0.1196,131.26,62.8,3.8,1.21e+18
137,-3.5429,100.6784,61.9457,-11.599,25.071,0.0856,114.5822,52.8,7.6,8.67e+17
138,-3.4324,100.6008,53.3404,0.6924,25.071,0.0229,77.3361,44.8,7.6,2.32e+17
139,-3.3218,100.5233,44.7496,12.9942,25.071,0.3251,130.4686,38.6,9.5,3.29e+18
140,-3.2112,100.4457,36.14,25.2951,25.071,0.2729,131.5422,38.2,7.6,2.76e+18
141,-3.1006,100.3681,27.5285,37.5953,25.071,0.2709,122.2414,37.8,7.6,2.74e+18
142,-2.99,100.2906,18.9261,49.8948,25.071,0.2119,102.2738,45.4,5.7,2.15e+18
143,-2.8795,100.213,10.3107,62.1824,25.071,0.0093,76.0592,51.0,1.9,9.43e+16
144,-2.7689,100.1354,1.6935,74.4805,25.071,0.0241,95.0709,58.8,3.8,2.44e+17
145,-2.6583,100.0579,-6.9144,86.7779,25.071,0.0414,81.626,69.6,5.7,4.19e+17
146,-2.5477,99.9803,-15.5351,99.0747,25.071,0.0328,77.2853,80.6,9.5,3.32e+17
147,-2.4372,99.9027,-24.1574,111.3598,25.071,0.0352,129.4507,92.2,7.6,3.56e+17
148,-2.3266,99.8251,-32.7812,123.6553,25.071,0.1262,130.3895,104.6,5.7,1.28e+18
149,-2.216,99.7476,-41.3955,135.9503,25.071,0.006,79.5197,111.4,1.9,6.07e+16
150,-3.7135,100.9059,87.1761,-30.5866,27.0852,0.0886,129.3742,73.6,9.5,8.98e+17
151,-3.6029,100.8283,78.5757,-18.2817,27.0852,0.2953,73.9086,66.0,1.9,2.99e+18
152,-3.4924,100.7507,69.9729,-5.9888,27.0852,0.212,98.3478,57.4,1.9,2.15e+18
153,-3.3818,100.6732,61.3847,6.3144,27.0852,0.0147,83.4097,50.4,3.8,1.49e+17
154,-3.2712,100.5956,52.7776,18.6168,27.0852,0.3015,130.836,45.8,1.9,3.05e+18
155,-3.1606,100.518,44.1685,30.9184,27.0852,0.3477,75.3726,47.2,9.5,3.52e+18
156,-3.0501,100.4405,35.5684,43.2081,27.0852,0.4607,82.1326,46.8,1.9,4.67e+18
157,-2.9395,100.3629,26.9554,55.5082,27.0852,0.157,85.8906,51.4,1.9,1.59e+18
158,-2.8289,100.2853,18.3404,67.8076,27.0852,0.1262,103.1101,58.0,1.9,1.28e+18
159,-2.7183,100.2078,9.7347,80.1063,27.0852,0.0124,127.9484,67.0,3.8,1.25e+17
160,-2.6078,100.1302,1.1161,92.3932,27.0852,0.0924,102.3055,76.8,9.5,9.36e+17
161,-2.4972,100.0526,-7.5041,104.6906,27.0852,0.0035,124.5161,86.4,3.8,3.55e+16
162,-2.3866,99.9751,-16.1149,116.9874,27.0852,0.0011,117.4427,95.8,5.7,1.09e+16
163,-2.276,99.8975,-24.7384,129.2835,27.0852,0.0948,125.5526,105.6,3.8,9.6e+17
164,-2.1655,99.8199,-33.3633,141.568,27.0852,0.0033,112.4846,113.4,1.9,3.29e+16
165,-3.663,100.9782,95.2034,-24.9785,29.0994,0.0987,131.6514,78.8,3.8,1e+18
166,-3.5524,100.9007,86.6144,-12.6729,29.0994,0.3033,89.159,72.2,1.9,3.07e+18
167,-3.4418,100.8231,78.0121,-0.3682,29.0994,0.2356,117.1375,63.6,1.9,2.39e+18
168,-3.3312,100.7455,69.4132,11.9357,29.0994,0.2005,73.221,56.8,1.9,2.03e+18
169,-3.2207,100.6679,60.8065,24.2277,29.0994,0.1213,109.2551,53.2,1.9,1.23e+18
170,-3.1101,100.5904,52.2089,36.53,29.0994,0.2152,77.9455,51.6,1.9,2.18e+18
171,-2.9995,100.5128,43.5981,48.8315,29.0994,0.0049,112.4979,54.6,3.8,4.92e+16
172,-2.8889,100.4352,34.9854,61.1322,29.0994,0.0563,129.826,58.6,1.9,5.7e+17
173,-2.7784,100.3577,26.3819,73.4211,29.0994,0.2008,73.4377,65.8,1.9,2.03e+18
174,-2.6678,100.2801,17.7655,85.7205,29.0994,0.3984,131.2806,76.0,3.8,4.04e+18
175,-2.5572,100.2025,9.1473,98.0191,29.0994,0.5763,93.6957,83.6,1.9,5.84e+18
176,-2.4466,100.125,0.5386,110.3171,29.0994,0.2721,131.6864,91.6,1.9,2.76e+18
177,-2.336,100.0474,-8.0829,122.6144,29.0994,0.2795,79.2369,100.0,1.9,2.83e+18
178,-2.2255,99.9698,-16.706,134.9,29.0994,0.192,74.3073,110.0,5.7,1.94e+18
179,-2.1149,99.8923,-25.3194,147.1962,29.0994,0.0108,85.3217,117.6,1.9,1.09e+17
180,-3.6124,101.0506,103.2426,-19.3598,31.1136,0.0647,104.5134,83.8,7.6,6.56e+17
181,-3.5018,100.973,94.6429,-7.0535,31.1136,0.402,131.2819,78.6,3.8,4.07e+18
182,-3.3913,100.8954,86.0466,5.2408,31.1136,0.2498,118.7312,71.0,3.8,2.53e+18
183,-3.2807,100.8178,77.4424,17.5454,31.1136,0.123,130.0245,63.0,1.9,1.25e+18
184,-3.1701,100.7403,68.8473,29.8492,31.1136,0.2094,131.1993,60.6,3.8,2.12e+18
185,-3.0595,100.6627,60.2389,42.1521,31.1136,0.1568,131.6052,59.6,3.8,1.59e+18
186,-2.9489,100.5851,51.6285,54.4543,31.1136,0.0285,105.5551,60.8,1.9,2.89e+17
187,-2.8384,100.5076,43.0273,66.7445,31.1136,0.1127,72.4092,65.8,5.7,1.14e+18
188,-2.7278,100.43,34.4131,79.0452,31.1136,0.474,71.7505,72.8,1.9,4.8e+18
189,-2.6172,100.3524,25.7971,91.3451,31.1136,0.7337,72.4813,82.8,1.9,7.43e+18
190,-2.5066,100.2749,17.1904,103.6444,31.1136,0.0807,118.8918,90.6,9.5,8.17e+17
191,-2.3961,100.1973,8.5709,115.9319,31.1136,0.302,78.6131,98.4,1.9,3.06e+18
192,-2.2855,100.1197,-0.0502,128.2298,31.1136,0.3411,78.7395,106.4,7.6,3.46e+18
193,-2.1749,100.0422,-8.6618,140.5271,31.1136,0.3263,72.8306,114.6,7.6,3.31e+18
194,-2.0643,99.9646,-17.2859,152.8238,31.1136,0.0075,113.1336,122.6,3.8,7.63e+16
195,-3.5618,101.1229,111.2716,-13.7416,33.1278,0.0995,85.2011,88.6,3.8,1.01e+18
